region,population,area,living_area,per_capita,real_incomes,formal_wage,real_pay,gdpp,income,subsidies,welfare,mining,manufact,indust,water_supply,provision,reg_prod_total,retail,poverty_percent,ps_child,ps_empl,ps_pens,childrens,child_orphanage,child_adopted,pension,pensioners,pensioners_percent,living_wage,unemployment_rate,newborn,child_mortality_rural,child_mortality_urban,child_mortality,morbidity,respiratory,neoplasms,disabled_18_60,density,spec_income,spec_subsidies,spec_mining,spec_manufact,spec_indust,spec_water_supply,spec_provision,spec_reg_prod,childrens_percent,child_orphanage_percent,newborn_1000,child_mortality_1000,disabled_1000,morbidity_1000
Республика Башкортостан,4038151,142947,17.4,30249,95.1,38738,102.5,425161.0,117247.12953235,96655.12820047,22.4,212923273000000.0,1165509906510000,1544334054110000.0,28160337900000.0,137740536700000.0,3088668108220000.0,226691,11.6,40.1,55.4,4.5,912337,1036,77,17150.31,960151,23.8,10477,5.9,41180,125,113,238,858134,160.186,6.007,89197,28.249288197723633,29034.855192970743,23935.49131780114,52727912.60158424,288624646.90151507,382435935.1866733,6973572.285929873,34109803.39764412,764871870.3733466,22.592939194200515,0.11355453083674125,10.19773653833153,0.05893786537452413,22.088574696686678,212.506664560092
Республика Бурятия,985937,351334,17.2,26092,98.8,41800,102.2,307558.8,27437.31625944,57558.84059748,25.5,48765852600000.0,97767864620000,176343104020000.0,3249746500000.0,26559640300000.0,352686208040000.0,199747,19.9,41.7,54.6,3.7,266047,311,74,16739.91,194614,19.7,12803,10.5,12620,29,40,69,199704,34.046,1.731,33125,2.8062669710304156,27828.670857712,58379.83623444499,49461428.671405986,99162385.2436819,178858389.55227363,3296099.5479427185,26938476.089243025,357716779.10454726,26.98417850227753,0.11689663856386279,12.800006491286968,0.06998418763064983,33.59748138065616,202.5524957476999
Республика Дагестан,3110858,50270,22.5,27661,97.2,31342,111.6,239640.7,37473.81064142,134631.56189374,28.3,4280095700000.0,43722489400000,67592167800000.0,1838720300000.0,17750862400000.0,135184335600000.0,188325,14.8,38.3,56.7,5.0,883036,33,95,14351.33,432691,13.9,10775,15.7,46506,181,136,317,160228,33.908,0.06,219687,61.882991844042174,12046.133459457165,43277.951579191336,1375856.982221625,14054800.765576571,21727821.649204176,591065.3266719342,5706098.574734044,43455643.29840835,28.38560937207677,0.0037371069809158403,14.94957339743569,0.10190114752907398,70.61942396599267,51.506047527723865
Республика Ингушетия,507061,3123,27.8,16877,99.7,29648,104.3,142199.7,4430.54661669,30498.29075707,32.5,920378400000.0,2146473600000,4277505400000.0,826476400000.0,384177000000.0,8555010800000.001,50713,30.0,38.1,51.3,10.6,158150,0,100,17076.7,65714,13.0,10580,30.0,8463,23,24,47,15176,1.401,0.03,43348,162.363432596862,8737.699441862023,60147.182995872296,1815123.6241793393,4233166.42376361,8435879.31235098,1629934.859908374,757654.4044996558,16871758.624701962,31.189541297792573,0.0,16.6902995892013,0.09269101745154923,85.4887281806331,29.929337890313
Республика Калмыкия,271135,74731,20.2,19811,102.4,32013,107.6,344933.1,5942.97809086,13708.28360431,24.3,88083157000000.0,604967300000,6619456400000.0,4334907200000.0,4114195200000.0,11338618900000.0,86002,22.7,33.8,65.9,0.3,65106,16,87,15020.07,60534,22.3,10914,9.6,2772,5,3,8,3892,1.795,2.259,10674,3.6281462846743655,21918.88944938868,50558.88617961532,324868264.88649565,2231240.157117303,24413876.482195217,15988003.024323676,15173973.113024877,41819089.752337396,24.01239235067402,0.024575307959327868,10.223689306065245,0.029505596842901136,39.367842587640844,14.354472864071402
Республика Карелия,614064,180520,17.1,32583,100.8,46501,104.1,522245.3,25445.22929132,33473.1523356,24.2,303708239300000.0,126255184930000,245402003630000.0,8915997300000.0,26728754500000.0,490804007260000.0,226569,15.1,39.0,58.1,3.0,125980,212,78,21533.92,164332,26.8,15438,8.7,5199,4,19,23,105181,10.357,5.965,17304,3.401639707511633,41437.4223066651,54510.852835535065,494587273.1506814,205605905.78506476,399635874.48539567,14519654.791682951,43527636.37015034,799271748.9707913,20.51577685713541,0.1682806794729322,8.466544203861487,0.03745537924385732,28.179473149378566,171.28670627165897
Республика Коми,820473,416774,15.5,36677,98.0,57156,102.1,749219.3,55505.957568,27141.13128128,22.7,12350320900000.0,190136442480000,545216634630000.0,8987761700000.0,42455955550000.0,1090433269260000.0,201675,15.3,40.1,53.3,6.6,184443,732,61,22347.96,184707,22.5,15715,7.8,7576,4,14,18,173534,30.165,2.15,25440,1.9686280814062298,67651.16898179465,33079.85915597466,15052684.122451318,231740035.90611756,664515023.2000322,10954366.20095969,51745707.110410705,1329030046.4000645,22.480081611460704,0.3968705779021161,9.233698122912028,0.02193856470596839,31.006504784435318,211.50482709363988
Республика Крым,1912622,26081,19.0,22950,99.5,34181,101.5,270363.8,48481.37372712001,163383.6260657,15.5,929458400000.0,100422035180000,171343903980000.0,6956325400000.0,49583786200000.0,342687807960000.0,148071,17.2,48.2,50.1,1.7,384736,280,76,16052.48,525185,27.5,11846,6.3,18868,54,48,102,113772,12.511,1.762,58555,73.33392124535102,25348.120918362336,85423.89769944086,485960.3204396896,52504904.35642798,89585869.02168855,3637062.3155019656,25924508.97249953,179171738.0433771,20.115631839432986,0.07277717707726856,9.864991618835296,0.05332993137169812,30.61504050460572,59.484832862949396
Республика Марий Эл,679417,23375,16.5,21264,98.3,32278,103.8,290803.3,17086.8028825,25471.00230376,22.4,117125500000.0,142625577670000,162458477170000.0,3290484100000.0,11947115700000.0,324916954340000.0,134692,19.5,32.8,61.5,5.8,148171,227,65,15818.7,171823,25.3,10568,6.7,6642,11,20,31,115579,27.909,3.677,21623,29.065967914438502,25149.21304957044,37489.49806048421,172391.1824402392,209923475.0823132,239114530.7962562,4843099.451441457,17584363.800140414,478229061.5925124,21.808550566147154,0.15320136868887974,9.77602856566733,0.045627354040302194,31.82581536817595,170.11496621368025
Республика Мордовия,790197,26128,20.0,20631,100.7,31105,105.1,342811.2,23685.52221803,26753.087588,22.5,823669498500000.0,236603930500000,252399282100000.0,7219543000000.0,12387742000000.0,504798564200000.0,127327,17.6,0.0,0.0,0.0,133432,197,63,15800.51,217974,27.6,10079,5.4,5558,8,9,17,97925,21.589,2.168,24774,30.24330220453154,29974.19911494222,33856.22520460087,1042359688.1537136,299423979.71645045,319413111.034337,9136383.711909816,15676776.803759063,638826222.068674,16.8859157906193,0.1476407458480724,7.033689067409773,0.02151362255235087,31.35167559482003,123.92479343758582
Республика Саха (Якутия),971996,3083523,16.5,46338,99.5,77178,101.8,1168152.5,101288.86308007,121093.50158861,16.8,636335600000.0,33951941570000,937200847880000.0,1691981600000.0,72359864810000.0,1874401695760000.0,250679,17.3,44.2,50.7,5.1,264141,510,80,23901.82,164134,16.9,18853,7.4,12957,33,34,67,139702,30.459,0.291,28170,0.3152225554990185,104207.0780950436,124582.30444220963,654668.9492549353,34930124.784464136,964202371.0797163,1740728.9741933094,74444611.71650912,1928404742.1594326,27.175111831735933,0.1930786966052222,13.33030177078918,0.06893032481615151,28.981600747328176,143.72692891740297
Республика Северная Осетия-Алания,696837,7987,16.4,23927,94.6,30479,103.0,267814.4,14490.77451131,31297.61326469,25.0,575549655400000.0,18010023500000,35731140000000.0,41261788100000.0,15392799300000.0,71462280000000.0,163468,13.9,34.8,58.4,6.8,163825,102,80,15999.89,158813,22.8,10433,15.5,8157,9,24,33,44444,12.83,22.4,26042,87.24640040065105,20795.07045594594,44913.8224070909,825945888.9238086,25845389.23736828,51276180.799814016,59212969.60408245,22089526.388524145,102552361.59962803,23.5098021488526,0.06226155959102701,11.705750412219787,0.047356842417954265,37.371723946920156,63.779621346168476
Республика Татарстан,3902888,67847,16.2,35635,96.7,39761,103.1,675621.4,166066.01867777,85445.76467057,13.7,16860405000000.0,1953851587530000,2710057662010000.0,401160600000.0,139394630980000.0,5420115324020000.0,238322,6.6,42.0,50.7,7.3,843709,638,79,16916.73,952747,24.4,10231,3.6,41598,40,130,170,1326215,242.409,0.033,107639,57.52484266069244,42549.52196367664,21892.958411968266,4319981.767347666,500616873.3332855,694372388.3467832,102785.57826922013,35715765.08985141,1388744776.6935663,21.6175560251793,0.07561848931325849,10.658261267041226,0.04355748871092381,27.57932074914781,339.80349935739895
Республика Тыва,327383,168604,13.6,18972,110.9,44104,107.0,251799.9,6679.83942558,40381.20782658,23.8,72383462400000.0,562091740000,23291833970000.0,2191259000000.0,5468176630000.0,46583667940000.0,76921,31.7,45.0,52.4,2.6,122150,215,74,18251.62,36087,11.0,11594,18.0,6582,17,19,36,9065,3.39,0.853,14128,1.9417273611539465,20403.745538345,123345.46334592816,221097193.1957371,1716924.0308751524,71145520.59819844,6693258.354893198,16702689.602086853,142291041.1963969,37.31103936368107,0.1760130986492018,20.104892434854587,0.10996294859537606,43.15434827098536,27.689281361585667
Республика Хакасия,534262,61569,17.9,23837,100.8,43800,104.0,500422.8,17699.26228171,19273.48266814,24.1,34206877900000.0,106392496400000,237038274700000.0,35589982200000.0,56071056900000.0,474076549400000.0,175577,18.5,43.2,54.3,2.4,129013,86,88,17331.95,123049,23.0,12428,8.7,5360,5,16,21,75839,10.613,15.222,11741,8.677451314785039,33128.43189616704,36074.96447087759,64026410.07595524,199139179.65342847,443674217.3315714,66615222.86818078,104950486.65261613,887348434.6631428,24.147889986560898,0.06665994899738785,10.032530855647604,0.039306557456828296,21.97610910002957,141.95095290325722
Ростовская область,4197821,100967,18.2,31427,98.6,35622,102.1,403949.1,124304.16454161,71744.06150165,27.8,1509023300000.0,849342841850000,1081349253150000.0,9134712100000.0,162209551200000.0,2162698506300000.0,232860,13.0,43.9,54.5,1.6,794498,398,92,16079.4,1115279,26.6,11493,5.0,36485,76,124,200,589384,84.856,5.623,162668,41.576168451078075,29611.59242893158,17090.78626783991,359477.76239148836,202329456.60379517,257597752.05993778,2176060.41324773,38641369.22465251,515195504.11987555,18.926438264042226,0.05009452509635015,8.691413950237516,0.04764376565842136,38.75058036062043,140.40236589411506
Рязанская область,1108847,39605,19.0,27312,97.2,36459,101.8,412845.1,36542.41480811,24694.6984754,22.0,272383632400000.0,341384630800000,392146394900000.0,46543909800000.0,40118028700000.0,784292789800000.0,196393,12.8,37.0,59.7,3.3,196815,288,73,16966.14,328817,29.7,11643,5.4,8701,15,31,46,316755,89.945,31.898,39885,27.997651811639944,32955.326395895914,22270.609448733685,245645821.6507778,307873521.594954,353652392.89099395,41975051.382201515,36179949.71353126,707304785.7819879,17.74951819322233,0.1463303101897721,7.846889606952087,0.04148453303296127,35.969795652601306,285.6615926272966
Самарская область,3179532,53565,16.9,29893,97.4,38748,102.6,505093.4,119183.98046696,66439.56757396,23.4,35897627600000.0,1087820856800000,1547652873230000.0,71373296400000.0,140904474230000.0,3095305746460000.0,213032,12.3,36.9,53.6,9.5,615832,795,72,17345.24,846901,26.6,12151,4.5,27983,26,104,130,506976,113.998,92.427,80323,59.35838700644077,37484.755764986796,20896.021041448865,11290223.718459195,342132381.998357,486754929.0996285,22447736.459327977,44316105.084018655,973509858.199257,19.368636642122176,0.12909364891723718,8.800980773271036,0.04088652040614782,25.262522912177012,159.44988130328613
Санкт-Петербург,5398064,1403,15.7,49207,101.1,68667,101.0,971158.0,411309.65345948,54096.73039842,19.8,34408819400000.0,2564838334600000,2875726775100000.0,12703500700000.0,203617516500000.0,5751453550200000.0,283494,5.9,0.0,0.0,0.0,947039,1265,53,19203.41,1424587,26.4,13074,2.9,55439,0,191,191,2677555,614.49,11.732,119099,3847.5153243050604,76195.7719396213,10021.505932204582,6374288.893203192,475140408.59834194,532732990.0312408,2353343.8469792134,37720470.98737621,1065465980.0624816,17.544049125760644,0.1335742245039539,10.270163525293512,0.03538305585113478,22.063280464996343,496.0213513585611
Саратовская область,2421895,101240,17.8,24046,100.4,33545,104.7,358480.4,60172.20632161,60516.00424914,27.7,731920051400000.0,427571767550000,569664320550000.0,4135165900000.0,94980232900000.0,1139328641100000.0,164665,14.8,39.0,58.5,2.5,451172,534,70,15919.6,661161,27.3,10409,5.6,18643,16,45,61,630116,115.284,3.377,54594,23.922313314895298,24845.092921703872,24987.04702274046,302209654.58865887,176544304.1709075,235214293.1671274,1707409.2394591838,39217320.69309363,470428586.3342548,18.628883580832365,0.11835840876650147,7.697691270678539,0.02518688877924105,22.541852557604685,260.17478049213526
Сахалинская область,488257,87101,17.2,60770,98.6,92518,101.7,2059206.5,51286.49695678,17397.4474919,16.5,92526767400000.0,65896029100000,821864303480000.0,77608009860000.0,19913057080000.0,1643728606960000.0,338787,7.7,0.0,0.0,0.0,106749,315,57,23008.29,111009,22.7,17178,5.5,5591,5,20,25,98491,20.319,45.171,9638,5.6056417262717995,105039.96247218165,35631.74207824977,189504231.17333698,134961770.33816206,1683261691.0356636,158949098.24129507,40783966.394747026,3366523382.071327,21.863281017988477,0.2950847314728944,11.450936699320236,0.05120254292309173,19.739604347710323,201.7195862015291
Свердловская область,4310681,194307,15.8,37374,92.5,43256,102.1,588270.0,182023.17938086,69567.14869153999,23.5,2038290500000.0,2072196704810000,2487507183170000.0,13230839700000.0,245175701100000.0,4975014366340000.0,259875,9.0,46.3,51.5,2.2,937279,1725,68,18306.46,1084761,25.2,11550,5.8,43991,38,144,182,2062800,337.889,1.024,104203,22.18489812513188,42226.08431959127,16138.319836596582,472846.5177543873,480712143.8143996,577056660.6923593,3069315.428351112,56876326.75672359,1154113321.3847187,21.743177006138936,0.18404338516066188,10.205116082586487,0.04222070712261009,24.173210682952416,478.53227831055
Севастополь,449138,864,13.7,29957,102.9,36300,101.3,295304.9,12992.42740508,42782.16678145,13.3,11073282600000.0,15630051100000,29028253900000.0,12597835000000.0,8877990500000.0,53536295500000.0,141383,11.0,0.0,0.0,0.0,85823,22,70,17141.3,117244,26.1,12201,4.6,4225,0,15,15,34819,11.413,2.999,7651,519.8356481481482,28927.473081948086,95253.94596193153,24654521.772818156,34800108.42992577,64631035.227480195,28048918.14987821,19766732.051173583,119197875.70857954,19.10838094305091,0.025634154014658076,9.406908344428661,0.03339730773169939,17.0348534303488,77.52405719400274
Смоленская область,934889,49779,19.4,28152,98.3,33139,102.5,386274.8,30721.64828271,19858.74059462,27.2,267666100000.0,219478208700000,289326966100000.0,4313657290000.0,54579627000000.0,578653932000000.0,186156,15.6,34.7,53.3,12.0,162880,486,47,16581.78,261528,28.0,11572,5.3,6554,12,27,39,277126,48.091,3.733,28006,18.78079109664718,32861.27902104956,21241.816509361004,286307.89323652326,234763922.45496523,309477345.54583484,4614084.97693309,58380863.39661714,618954690.8777406,17.422389182031235,0.29837917485265225,7.0104579260211635,0.04171618234892057,29.95649750932998,296.4266346058195
Ставропольский край,2803573,66160,19.0,23911,94.5,33877,102.5,308476.2,62712.72039836,73114.71998217999,30.8,789317000000.0,307718213500000,400053220400000.0,9371061000000.0,68663889099999.99,800106440600000.0,185994,13.8,39.2,58.9,1.9,586779,667,77,15849.48,671692,24.0,10464,6.2,27487,59,79,138,405975,67.759,4.786,89084,42.37564993954051,22368.85588438753,26079.121172225583,281539.6638503795,109759301.25593306,142694062.326895,3342542.1774285883,24491564.549951077,285388124.5824525,20.92968508399817,0.11367141632539679,9.804274759387397,0.04922290234639868,31.775166903091165,144.8062882614435
Тамбовская область,1006748,34462,19.7,27889,94.3,31063,104.1,378455.8,23561.06242353,29684.23333333,23.9,115235275000000.0,188201670580000,207661450290000.0,8768566900000.0,14878456320000.0,415322900580000.1,198282,10.8,33.5,58.9,7.6,170443,250,85,15623.31,305348,30.3,10998,4.6,7433,14,10,24,159962,39.947,5.977,37402,29.213278393592944,23403.138047982215,29485.266753278876,114462879.48920684,186940198.12306556,206269543.41106215,8709793.215382598,14778729.453646792,412539086.8221244,16.9300559822319,0.14667660156181248,7.383178312745593,0.023839133526960075,37.151303007306694,158.88981155164947
Тверская область,1260379,84201,17.5,27681,97.4,36077,103.9,391722.2,45049.21459218,25369.1618687,22.5,8334138300000.0,341532380550000,443911800150000.0,17931811500000.0,92219041600000.0,887823600300000.0,199736,11.4,31.0,65.1,3.8,235854,450,69,17145.64,363987,28.9,12041,4.4,10075,12,33,45,263401,59.453,3.321,34532,14.968693958504057,35742.5937691599,20128.20101628161,6612406.506296915,270975937.039573,352205011.4687725,14227316.941967456,73167707.17379455,704410022.937545,18.71294269422134,0.1907960009158208,7.993627313688977,0.03570354631424357,27.3981080294102,208.9855511715127
Томская область,1079271,314391,16.9,28857,97.7,48730,103.2,518179.5,42961.65816795,30620.53539489,23.5,183155192300000.0,198997143400000,354921306400000.0,18462258700000.0,31920321100000.0,709842612800000.0,162359,14.4,42.2,54.2,3.6,227938,416,63,19197.35,242769,22.5,12566,8.7,9940,12,33,45,256182,55.599,11.818,25600,3.4328940713951734,39806.182291519,28371.498349246853,169702690.3344943,184381071.48250994,328852814.90932304,17106230.68719534,29575816.546539284,657705629.8186461,21.11962611800002,0.18250576911265345,9.209920399973687,0.041694810663864774,23.719714510998628,237.3657774553379
Тульская область,1466127,25679,16.6,29385,98.2,40889,103.3,486544.2,54291.13080147,29261.3167515,23.3,187616196100000.0,850736047670000,932213890770000.0,15502492100000.0,55211893300000.0,1864427781540000.0,205652,10.1,38.8,56.0,5.3,244772,477,62,18273.1,439067,29.9,11814,4.4,10812,15,49,64,357986,63.206,16.527,52826,57.09439619922894,37030.30556116217,19958.24151079681,127967219.82474916,580260814.8339127,635834338.2053533,10573771.64461196,37658329.25797015,1271668676.4107065,16.695143053773652,0.19487523082705538,7.374531674268327,0.04365242574483656,36.03098503744901,244.17120754204785
Тюменская область без округов,1537416,1464173,18.1,31151,99.2,51501,102.5,757076.0,67322.16289456001,17836.00663539,21.9,14093423360000.0,651681655420000,912284895620000.0,9717375400000.0,58985789200000.0,1824569791240000.0,268215,13.6,37.9,54.7,7.5,366970,300,90,18490.89,327849,21.3,12376,4.8,18753,23,48,71,648585,102.172,26.307,34972,1.0500234603424596,43789.16499799664,11601.288548701197,9166955.046649704,423881145.64958346,593388448.9429016,6320589.482612384,38366837.08248126,1186776897.8858032,23.869271556950103,0.08175055181622476,12.197739583821164,0.04618138486915708,22.747259037241708,421.8669507797499
Удмуртская Республика,1500955,42061,14.8,25449,97.9,36380,103.4,451490.9,42187.20927688,35701.87459662,23.1,27568168600000.0,337062165060000,581573555460000.0,9521832900000.0,41392702200000.0,1163147110920000.0,160085,11.9,49.9,47.5,2.7,340439,609,71,17178.51,369858,24.6,10930,6.3,14545,23,40,63,623170,128.25,13.605,39105,35.68519531157129,28106.911450962885,23786.1059103171,18367085.3556569,224565136.90283853,387469015.03376186,6343849.682368892,27577577.075928327,774938030.0675237,22.681492782928203,0.1788866727960075,9.690497050211366,0.04197327701363465,26.05341266060608,415.1823339140747
Ульяновская область,1229824,37181,17.9,24590,99.2,32504,102.2,360112.2,42630.94410227,25043.71119237,25.3,2659122568600000.0,276051692060000,326165082920000.0,23768335300000.0,26302592100000.0,652330165840000.0,165299,15.0,38.4,58.5,3.1,227134,379,76,16253.93,352196,28.6,11088,4.9,10346,11,32,43,338885,99.771,8.28,40087,33.076678948925526,34664.26423802918,20363.65463055689,2162197654.786376,224464388.4490789,265212813.31312448,19326615.271778725,21387281.513452332,530425626.62624896,18.468821554954204,0.16686185247475058,8.412585865945045,0.034964352622814325,32.595721013738554,275.5556892693589
Хабаровский край,1315643,787633,15.4,41740,96.2,53113,101.9,658239.5,76913.23773508001,49130.67107633,25.7,139619313500000.0,406826629000000,501840435300000.0,37238860600000.0,57923804800000.0,1003680870600000.0,277942,12.0,32.7,60.9,6.4,278203,956,60,20407.02,293878,22.3,16510,4.0,13739,5,53,58,487748,93.098,14.599,26298,1.6703756698868635,58460.56850914724,37343.46709276757,106122491.81578894,309222660.7065899,381441192.8615894,28304684.9335268,44026992.732831016,762882385.7231787,21.1457819484465,0.3436339651261848,10.442802492773495,0.04408490753190645,19.988705142656478,370.7297496357295
Ханты-Мансийский автономный округ - Югра,1674676,534801,13.9,54443,100.4,79822,103.5,1994630.3,183632.54777124,30574.60989344,15.8,4552198600000.0,567899557740000,3466474896040000.0,2323171000000.0,215684434400000.0,6932949792080000.0,258117,8.4,55.6,42.9,1.6,426532,25,89,25733.6,265614,15.9,17140,3.0,20605,5,70,75,138707,15.031,4.285,27400,3.131400277860363,109652.58221365805,18257.029952922236,2718256.307488732,339110107.1132565,2069937645.2758622,1387236.098206459,128791739.05877914,4139875290.5517244,25.469523657113374,0.005861224949124568,12.303872510264673,0.04478478225041739,16.361373782152487,82.82617055478194
Челябинская область,3466369,88529,16.0,26628,100.8,39349,101.7,467537.3,114666.40542404,70294.9268998,24.3,470434300000.0,1412224407100000,1718580404200000.0,6463987700000.0,129497823000000.0,3437160808400000.0,173367,12.6,40.6,53.4,6.0,747437,1746,60,17496.46,875135,25.2,12056,6.8,33252,31,102,133,861618,244.005,25.793,79089,39.15518078821629,33079.688118616345,20279.124034342567,135713.85504543805,407407407.3187246,495786918.2998117,1864771.955899675,37358349.03900883,991573836.5996234,21.562534167597274,0.23359828319978806,9.592746761813297,0.0383686791567776,22.816093728047996,248.56499697522105
Чеченская Республика,1478726,16171,19.2,24596,100.1,29771,104.0,171029.5,17700.32752664,106904.47672825,35.1,23136924600000.0,11931357800000,43492660200000.0,647356700000.0,24685932800000.0,86985320400000.0,123955,20.4,43.7,50.1,6.2,548452,0,100,16165.0,152105,10.3,11572,18.5,30111,72,109,181,54467,14.055,0.316,138935,91.44307711335107,11969.984653438163,72294.9868523648,15646525.860774748,8068673.844917855,29412250.951156605,437780.0214508976,16694054.747126918,58824501.90231321,37.08949460549149,0.0,20.36279878760501,0.12240266283273575,93.95587823572453,36.83373390337358
Чувашская Республика,1217818,18343,14.2,21155,101.4,31844,104.3,287210.3,26810.3384485,37215.4254941,24.9,2357945159600000.0,221808713370000,253029839700000.0,13571615300000.0,24286704330000.0,506059679400000.0,141564,16.8,22.2,73.6,4.2,258904,161,77,16111.97,302821,24.9,10414,6.1,11307,7,17,24,145091,23.23,1.72,28771,66.39142997328682,22015.061732130744,30559.102833181973,1936204884.1452498,182136175.82430217,207773115.27666697,11144206.523470666,19942802.890087023,415546230.55333394,21.25966277391203,0.06218521150696784,9.2846385913166,0.019707378278199208,23.62504085175289,119.14013424009171
Чукотский автономный округ,50288,721481,14.1,89541,105.2,120641,110.5,2404271.2,11422.61906662,29347.76697959,6.4,1205598300000.0,93236797700000,130641108400000.0,11331135700000.0,13620029400000.0,261282216800000.0,217089,8.0,0.0,0.0,0.0,12622,60,69,30144.56,7287,14.5,24711,4.4,537,1,7,8,5296,1.179,0.072,1068,0.0697010732091351,227144.03170975184,583593.8390787067,23973876.471524023,1854056588.0528157,2597858503.0225897,225324842.90486795,270840546.452434,5195717006.045179,25.099427298759146,0.47536048169862144,10.678491886732422,0.1590836780146357,21.237671014953865,105.31339484568883
Ямало-Ненецкий автономный округ,544444,769250,15.5,89928,106.8,111216,108.0,5072483.6,147335.08503486,18750.62299104,12.6,0.0,307490084980000,2732310485080000.0,0.0,53303625200000.0,5464620970160000.0,263114,4.8,51.0,48.4,0.7,143794,68,83,25796.8,64337,11.8,17403,2.4,7092,10,15,25,179837,25.51,5.495,7573,0.7077595060123497,270615.68321968836,34439.947893704404,0.0,564778168.149525,5018533559.153926,0.0,97904697.63648787,10037067118.307852,26.411164417277078,0.047289873012782174,13.02613308255762,0.04591840483135089,13.909603191512808,330.31312678622595
Ярославская область,1253389,36177,15.8,29514,98.2,37820,100.9,495102.2,49818.40627845001,24243.96286231,23.5,0.0,420810277300000,479538647300000.0,0.0,46191636000000.0,959077294600000.0,204406,9.9,31.9,65.8,2.3,242440,485,60,17741.61,349838,27.9,11689,7.3,10584,8,32,40,280477,45.039,10.017,28829,34.64601818835172,39746.96305652117,19342.72828492192,0.0,335737969.0582892,382593629.9903701,0.0,36853391.883924305,765187259.9807402,19.342757914741554,0.2000494967827091,8.444305798120137,0.03191347618337164,23.000840122260527,223.77490148708821
